id,brand,text,golden_intent,predicted_intent,confidence,top_similarity,ground_truth_decision,ground_truth_reason,agent_decision,agent_reason,is_match,case_type
19,GWRHelp,"Morning @GWRHelp. The 06.31 OLF is delayed, but no reason has been given. Can you tell me why, and of it is likely to run? Thanks.",flight_travel_disruption,flight_travel_disruption,0.1445,0.1608,AUTO_HANDLE,Standard status or troubleshooting guidance,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.14) below threshold (0.45),False,FALSE_POSITIVE
20,VirginTrains,@VirginTrains I was wondering why the 19:17 to Manchester Piccadilly from Euston is delayed?,flight_travel_disruption,flight_travel_disruption,0.2506,0.4919,AUTO_HANDLE,Standard status or troubleshooting guidance,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.25) below threshold (0.45),False,FALSE_POSITIVE
21,AskeBay,"@AskeBay need assistance. Bought item, due to be delivered Saturday. Never received item, despite being marked as delivered. No response from seller, delivery services cannot assist with lost/missing package. Please advise.",order_delivery_issue,order_delivery_issue,0.3863,0.1768,AUTO_HANDLE,Standard status or troubleshooting guidance,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.39) below threshold (0.45),False,FALSE_POSITIVE
22,Postmates_Help,Every time I order late night on postmates the driver always runs off with my food 👿,order_delivery_issue,order_delivery_issue,0.2577,0.1517,AUTO_HANDLE,Standard status or troubleshooting guidance,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.26) below threshold (0.45),False,FALSE_POSITIVE
23,DoorDash_Help,"Don't EVER use @116584 as a food delivery service, as it's abysmal. Waiting for Chinese for 90 minutes from a place 3 miles away.",order_delivery_issue,order_delivery_issue,0.1838,0.2862,AUTO_HANDLE,Standard status or troubleshooting guidance,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.18) below threshold (0.45),False,FALSE_POSITIVE
24,Uber_Support,I can't with @115873. Ordered car. Was outside. Driver drove past me. I had bags. Was walking to him. He canceled. I had to pay $5 + ⬇🌟,order_delivery_issue,billing_payment_dispute,0.2207,0.1904,AUTO_HANDLE,Standard status or troubleshooting guidance,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.22) below threshold (0.45),False,FALSE_POSITIVE
25,AmazonHelp,@115830 I had 2 sleeping toddlers when your delivery driver hammered on my door. Now I have my parcel and a sense of impending doom. #shh,order_delivery_issue,order_delivery_issue,0.3595,0.2477,AUTO_HANDLE,Standard status or troubleshooting guidance,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.36) below threshold (0.45),False,FALSE_POSITIVE
26,DoorDash_Help,"When did @116584 start charging an $8 DELIVERY FEE. 

I'm just tryna get some 1AM Burger King and they're over here draining my wallet",order_delivery_issue,order_delivery_issue,0.2364,0.2263,AUTO_HANDLE,Standard status or troubleshooting guidance,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.24) below threshold (0.45),False,FALSE_POSITIVE
27,Tesco,hi @Tesco an answerphone message from your delivery driver ended with him saying 'fuck you' (he obviously thought he'd put the phone down),order_delivery_issue,order_delivery_issue,0.2957,0.1302,AUTO_HANDLE,Standard status or troubleshooting guidance,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.30) below threshold (0.45); WEAK_GROUNDING: Top retrieval similarity (0.13) below threshold (0.15),False,FALSE_POSITIVE
28,Tesco,"@Tesco thanks for the non delivery with no explanation. 3-5 day refund, now without shopping or my money. @sainsburys @117249 may be better?",order_delivery_issue,subscription_cancellation_refund,0.273,0.1843,ESCALATE_HUMAN,Financial/Ticketing transactional action required,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.27) below threshold (0.45),True,TRUE_POSITIVE
29,Postmates_Help,Wow and now a @116057 @Postmates_Help driver closing out the order when nobody has arrived with my food...... https://t.co/BHdLLk7k5W,order_delivery_issue,order_delivery_issue,0.2006,0.2166,AUTO_HANDLE,Standard status or troubleshooting guidance,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.20) below threshold (0.45),False,FALSE_POSITIVE
30,marksandspencer,@marksandspencer Received email today saying I was included in trial food delivery but when I tried to shop was told my postcode was not included! Can you explain this please to one very disappointed would-be shopper. Thank you,order_delivery_issue,order_delivery_issue,0.2119,0.1543,AUTO_HANDLE,Standard status or troubleshooting guidance,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.21) below threshold (0.45),False,FALSE_POSITIVE
31,AmazonHelp,"@115821 seems like Amazon is in no mood to deliver the product to #kolkata,second product not delivered on account ""prod damaged in transit""",order_delivery_issue,order_delivery_issue,0.196,0.2909,AUTO_HANDLE,Standard status or troubleshooting guidance,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.20) below threshold (0.45),False,FALSE_POSITIVE
32,ArgosHelpers,@ArgosHelpers Terrible delivery service even worse paying extra for a time slot #3hourslate,order_delivery_issue,order_delivery_issue,0.2982,0.239,AUTO_HANDLE,Standard status or troubleshooting guidance,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.30) below threshold (0.45),False,FALSE_POSITIVE
33,ArgosHelpers,"@116245 
I purchased this Monday with same-day delivery, but I haven't received all my items until today(Friday)...wonderful service..",order_delivery_issue,order_delivery_issue,0.345,0.2862,AUTO_HANDLE,Standard status or troubleshooting guidance,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.35) below threshold (0.45),False,FALSE_POSITIVE
34,AmazonHelp,@115821 I placed an order redmi note4 on 25th oct. Expected​ delivery date 3rd nov. But I have not got it till now. We did not know that amazon is a poor service provider. My tracking id 179466109. Please help me to quick delivery.,order_delivery_issue,order_delivery_issue,0.373,0.2319,AUTO_HANDLE,Standard status or troubleshooting guidance,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.37) below threshold (0.45),False,FALSE_POSITIVE
35,Tesco,Rather dodgy that shopping on @Tesco with a free delivery saver trial there are no slots available but without it there are slots available!,order_delivery_issue,order_delivery_issue,0.1754,0.1881,AUTO_HANDLE,Standard status or troubleshooting guidance,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.18) below threshold (0.45),False,FALSE_POSITIVE
36,Uber_Support,@Uber_Support I was severely undercharged for a long trip. How can I make sure the driver gets paid the right amount? Help forms aren't working and in-app help doesn't have this as an issue I can select.,order_delivery_issue,billing_payment_dispute,0.1966,0.1794,AUTO_HANDLE,Standard status or troubleshooting guidance,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.20) below threshold (0.45),False,FALSE_POSITIVE
37,ArgosHelpers,"@ArgosHelpers waiting in for delivery and a note on the tracking says ‘We tried to deliver your parcel but couldn't access your property’. Really, never had this issue with anyone else in 20 years!? We were in and no one was outside? No call for help?",order_delivery_issue,order_delivery_issue,0.2567,0.1793,AUTO_HANDLE,Standard status or troubleshooting guidance,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.26) below threshold (0.45),False,FALSE_POSITIVE
38,marksandspencer,@marksandspencer You should be informed your customers of a very convincing email scam claiming you are doing food delivery offering 20% off. I contacted your web chat and they were not that helpful.,order_delivery_issue,product_inquiry_availability,0.1729,0.1781,AUTO_HANDLE,Standard status or troubleshooting guidance,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.17) below threshold (0.45),False,FALSE_POSITIVE
39,Uber_Support,Why is everyone that works for @115873 literally the worst driver on the road at any given time,order_delivery_issue,order_delivery_issue,0.1758,0.2625,ESCALATE_HUMAN,Escalated severity or negative sentiment,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.18) below threshold (0.45),True,TRUE_POSITIVE
40,UPSHelp,"@115817 don't tell your customers lies! Like "" our driver will pick it up"" and then never show up. Take the package to the store and a week",order_delivery_issue,order_delivery_issue,0.4212,0.2088,AUTO_HANDLE,Standard status or troubleshooting guidance,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.42) below threshold (0.45),False,FALSE_POSITIVE
41,AppleSupport,@AppleSupport ios 11.0.3 on 6s. Cannot adjust alarm volume so waking up all in my house and neighbours despite ringer being set to minimum!,technical_hardware_software_bug,technical_hardware_software_bug,0.3591,0.2701,AUTO_HANDLE,Standard status or troubleshooting guidance,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.36) below threshold (0.45),False,FALSE_POSITIVE
42,AppleSupport,I half asleep did the update on my iPhone by accident and the battery life sucks. Went from 73% to 68% from opening an app. @115858 wtf?,technical_hardware_software_bug,technical_hardware_software_bug,0.4595,0.3171,AUTO_HANDLE,Standard status or troubleshooting guidance,AUTO_HANDLE,High intent confidence (0.46) and strong historical grounding (0.32) for routine 'technical_hardware_software_bug' without risk triggers.,True,TRUE_NEGATIVE
43,AppleSupport,Please fix the battery issues in Ios 11! @AppleSupport @115858,technical_hardware_software_bug,technical_hardware_software_bug,0.706,0.3937,AUTO_HANDLE,Standard status or troubleshooting guidance,AUTO_HANDLE,High intent confidence (0.71) and strong historical grounding (0.39) for routine 'technical_hardware_software_bug' without risk triggers.,True,TRUE_NEGATIVE
44,AskPlayStation,@AskPlayStation what can I do to get the new 5.01 update as is keeps telling me there’s an error when trying to update,technical_hardware_software_bug,technical_hardware_software_bug,0.3082,0.2118,AUTO_HANDLE,Standard status or troubleshooting guidance,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.31) below threshold (0.45),False,FALSE_POSITIVE
45,AskPlayStation,@AskPlayStation my ps4 keeps freezing and I wait for hours for it to unfreeze but it doesn’t so it forces me to keep unplugging it,technical_hardware_software_bug,technical_hardware_software_bug,0.1471,0.2258,AUTO_HANDLE,Standard status or troubleshooting guidance,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.15) below threshold (0.45),False,FALSE_POSITIVE
46,AskPlayStation,"@AskPlayStation my PS4 pro has an audio problem. Game plays fine, but the sound stutters... do you know a fix?",technical_hardware_software_bug,technical_hardware_software_bug,0.187,0.2969,AUTO_HANDLE,Standard status or troubleshooting guidance,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.19) below threshold (0.45),False,FALSE_POSITIVE
47,MicrosoftHelps,"@MicrosoftHelps i have disabled the auto reboot of windows 10, yet it STILL DID IT. i own the hardware, i paid you money for the OS, yet you control my pc... fix it",technical_hardware_software_bug,technical_hardware_software_bug,0.1521,0.2104,AUTO_HANDLE,Standard status or troubleshooting guidance,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.15) below threshold (0.45),False,FALSE_POSITIVE
48,MicrosoftHelps,@MicrosoftHelps xbox 1 call of duty keeps freezing and wont install past 54%. All im getting is errors.,technical_hardware_software_bug,technical_hardware_software_bug,0.2348,0.1218,AUTO_HANDLE,Standard status or troubleshooting guidance,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.23) below threshold (0.45); WEAK_GROUNDING: Top retrieval similarity (0.12) below threshold (0.15),False,FALSE_POSITIVE
49,MicrosoftHelps,.@MicrosoftHelps my dad's Windows 7 computer just got a critical update this morning that erased all of his files. Know what that's about?,technical_hardware_software_bug,technical_hardware_software_bug,0.2628,0.1661,AUTO_HANDLE,Standard status or troubleshooting guidance,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.26) below threshold (0.45),False,FALSE_POSITIVE
50,SpotifyCares,@SpotifyCares The buttons on my headphones don’t pause my music anymore. Is this a Spotify or an iOS 11 issue?,technical_hardware_software_bug,technical_hardware_software_bug,0.4816,0.2455,AUTO_HANDLE,Standard status or troubleshooting guidance,AUTO_HANDLE,High intent confidence (0.48) and strong historical grounding (0.25) for routine 'technical_hardware_software_bug' without risk triggers.,True,TRUE_NEGATIVE
51,SpotifyCares,@SpotifyCares The iOS UI is broken on iPhone X 🙁 I can’t access search (watch bottom of screen) https://t.co/L9uYEU7Vr4,technical_hardware_software_bug,technical_hardware_software_bug,0.446,0.383,AUTO_HANDLE,Standard status or troubleshooting guidance,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.45) below threshold (0.45),False,FALSE_POSITIVE
52,SpotifyCares,"@115888 next update: make a sleep timer option. also, try and get comparability with Siri.",technical_hardware_software_bug,technical_hardware_software_bug,0.3,0.3116,AUTO_HANDLE,Standard status or troubleshooting guidance,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.30) below threshold (0.45),False,FALSE_POSITIVE
53,XboxSupport,@XboxSupport Why the fuck does the @204967 always crash? Like every damn time I go to use it. Trash. https://t.co/au3UwSwiCb,technical_hardware_software_bug,order_delivery_issue,0.1721,0.2561,AUTO_HANDLE,Standard status or troubleshooting guidance,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.17) below threshold (0.45),False,FALSE_POSITIVE
54,XboxSupport,@XboxSupport Since the latest update everytime I turn the console on I have to manually restart all downloads. When will you fix this?,technical_hardware_software_bug,technical_hardware_software_bug,0.3557,0.215,AUTO_HANDLE,Standard status or troubleshooting guidance,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.36) below threshold (0.45),False,FALSE_POSITIVE
55,XboxSupport,@115786 @XboxSupport over $500 to get the black screen of death constantly! 4th reboot tonight https://t.co/MMyMywGDkR,technical_hardware_software_bug,technical_hardware_software_bug,0.2109,0.2391,AUTO_HANDLE,Standard status or troubleshooting guidance,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.21) below threshold (0.45),False,FALSE_POSITIVE
56,AppleSupport,@AppleSupport Why can't I enable battery percentage on iPhone X? I always turn that on. Huge disappointment!,technical_hardware_software_bug,technical_hardware_software_bug,0.3593,0.2771,AUTO_HANDLE,Standard status or troubleshooting guidance,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.36) below threshold (0.45),False,FALSE_POSITIVE
57,AppleSupport,Curses and damnation upon the new @115858 iOS for breaking all my apps. Annoying as hell.,technical_hardware_software_bug,technical_hardware_software_bug,0.4139,0.252,AUTO_HANDLE,Standard status or troubleshooting guidance,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.41) below threshold (0.45),False,FALSE_POSITIVE
58,AppleSupport,"Ok so @AppleSupport you told me to again update my phone, did that (stupidly) and my battery still won’t last an hour. WAG1?",technical_hardware_software_bug,technical_hardware_software_bug,0.4051,0.2211,AUTO_HANDLE,Standard status or troubleshooting guidance,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.41) below threshold (0.45),False,FALSE_POSITIVE
59,AppleSupport,Want to chat about how #iphonex is not connecting to Bluetooth headphones @AppleSupport or how when by all appearances on phone they are connected but no sound?,technical_hardware_software_bug,technical_hardware_software_bug,0.1536,0.2485,AUTO_HANDLE,Standard status or troubleshooting guidance,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.15) below threshold (0.45),False,FALSE_POSITIVE
60,AppleSupport,@118936 need iOS 11 update to this app. How to contact the developer? #SriLanka #Sinhala @AppleSupport https://t.co/mxqJlquADC,technical_hardware_software_bug,technical_hardware_software_bug,0.6271,0.3931,AUTO_HANDLE,Standard status or troubleshooting guidance,AUTO_HANDLE,High intent confidence (0.63) and strong historical grounding (0.39) for routine 'technical_hardware_software_bug' without risk triggers.,True,TRUE_NEGATIVE
61,AmazonHelp,"@AmazonHelp hey guys, restaurants promo code - never used and expires in December. Not working? Why's that?",billing_payment_dispute,billing_payment_dispute,0.1951,0.2625,ESCALATE_HUMAN,Billing discrepancy requiring ledger inspection,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.20) below threshold (0.45),True,TRUE_POSITIVE
62,CoxHelp,@CoxHelp absolutely ridiculous the amount of money charged per month and so many outages and issues ..once again no cable no internet,billing_payment_dispute,service_outage_connectivity,0.3153,0.1472,ESCALATE_HUMAN,Billing discrepancy requiring ledger inspection,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.32) below threshold (0.45); WEAK_GROUNDING: Top retrieval similarity (0.15) below threshold (0.15),True,TRUE_POSITIVE
63,AppleSupport,"@AppleSupport this update sucks my phone needs to be charged 3 times a day, please fix. 100% this morning at 7:00 and it’s already at 49%.",billing_payment_dispute,technical_hardware_software_bug,0.2879,0.2727,ESCALATE_HUMAN,Billing discrepancy requiring ledger inspection,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.29) below threshold (0.45),True,TRUE_POSITIVE
64,ATVIAssist,"@115765 I bought cod points and they’re not showing up, my card has been charged and I’ve reset the game 2x.",billing_payment_dispute,billing_payment_dispute,0.2913,0.1662,ESCALATE_HUMAN,Billing discrepancy requiring ledger inspection,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.29) below threshold (0.45),True,TRUE_POSITIVE
65,Postmates_Help,"@Postmates_Help I️ have been charged 4 times for my order, and it’s nearing 48 hours since delivery. Please fix this situation.",billing_payment_dispute,billing_payment_dispute,0.3029,0.2022,ESCALATE_HUMAN,Billing discrepancy requiring ledger inspection,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.30) below threshold (0.45),True,TRUE_POSITIVE
66,Safaricom_Care,@Safaricom_Care how much will I be charged to call Oman number using my safaricom line,billing_payment_dispute,billing_payment_dispute,0.2651,0.2323,ESCALATE_HUMAN,Billing discrepancy requiring ledger inspection,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.27) below threshold (0.45),True,TRUE_POSITIVE
67,XboxSupport,"@XboxSupport your marketplace is terrible,you charged me for a game and its not even in my ready to install. Its gone!",billing_payment_dispute,billing_payment_dispute,0.2455,0.1679,ESCALATE_HUMAN,Billing discrepancy requiring ledger inspection,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.25) below threshold (0.45),True,TRUE_POSITIVE
68,TMobileHelp,@115911 is sneaky trying to tell me my card was declined when my bank confirmed in three way call it was never charged!,billing_payment_dispute,billing_payment_dispute,0.3009,0.1882,ESCALATE_HUMAN,Billing discrepancy requiring ledger inspection,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.30) below threshold (0.45),True,TRUE_POSITIVE
69,SpotifyCares,@SpotifyCares hey can you please send me the promo code for the majid jordan spotify presale i love majid and i have a spotify account THX,billing_payment_dispute,billing_payment_dispute,0.2653,0.256,ESCALATE_HUMAN,Billing discrepancy requiring ledger inspection,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.27) below threshold (0.45),True,TRUE_POSITIVE
70,AskeBay,@63657 charged me 2 bucks for 4 seeds and not 1 of them germinated. Dissipointed next year @115937,billing_payment_dispute,billing_payment_dispute,0.4387,0.2036,ESCALATE_HUMAN,Billing discrepancy requiring ledger inspection,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.44) below threshold (0.45),True,TRUE_POSITIVE
71,comcastcares,.@comcastcares tired of getting charged for equipment that was returned months ago. Please stop it.,billing_payment_dispute,billing_payment_dispute,0.4204,0.1868,ESCALATE_HUMAN,Billing discrepancy requiring ledger inspection,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.42) below threshold (0.45),True,TRUE_POSITIVE
72,idea_cares,@idea_cares I am utterly dissatisfied with idea.My dad is a postpaid user and will soon port from idea. He is been charged a lot extra money,billing_payment_dispute,billing_payment_dispute,0.2458,0.2322,ESCALATE_HUMAN,Billing discrepancy requiring ledger inspection,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.25) below threshold (0.45),True,TRUE_POSITIVE
73,AskLyft,@115879 how did my fare more than double from the original fare I accepted??? That's just wrong!,billing_payment_dispute,billing_payment_dispute,0.2977,0.1736,ESCALATE_HUMAN,Billing discrepancy requiring ledger inspection,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.30) below threshold (0.45),True,TRUE_POSITIVE
74,ArgosHelpers,"22 identical sealed boxes. A quarter of a million pounds. Just one question.

Have Argos overcharged me?",billing_payment_dispute,billing_payment_dispute,0.175,0.1761,ESCALATE_HUMAN,Billing discrepancy requiring ledger inspection,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.17) below threshold (0.45),True,TRUE_POSITIVE
75,TfL,Hello @TfL - I’ve got a Z1/2 travelcard. Could you tell me why I get charged extra every time I go from High & Is > Hackney Central please?,billing_payment_dispute,billing_payment_dispute,0.2809,0.1976,ESCALATE_HUMAN,Billing discrepancy requiring ledger inspection,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.28) below threshold (0.45),True,TRUE_POSITIVE
76,ChipotleTweets,@ChipotleTweets I also was charged full price 😞 https://t.co/oDo7kDKeqc,billing_payment_dispute,billing_payment_dispute,0.4164,0.3268,ESCALATE_HUMAN,Billing discrepancy requiring ledger inspection,ESCALATE_HUMAN,LOW_CONFIDENCE: Classifier confidence (0.42) below threshold (0.45),True,TRUE_POSITIVE
