example_id,tweet_id,brand,customer_message,predicted_intent,routing_decision,agent_reply,relevance_1_to_5,correctness_1_to_5,groundedness_1_to_5,helpfulness_1_to_5,safety_1_to_5,overall_1_to_5,reviewer_comments
114,1333,ChipotleTweets,@ChipotleTweets I didn't know my boy ordered half a bowl... #WheresTheRice? https://t.co/Qmqiy3nYIg,order_delivery_issue,ESCALATE_HUMAN,"Hello, thank you for contacting ChipotleTweets. Your request regarding order delivery issue requires specialist review. We have escalated this ticket to a human support representative. Please send us a Direct Message with your account reference and any relevant details so our team can assist you as soon as they review your file.",,,,,,,
116,2987478,Ask_WellsFargo,Fuck you wells fargo! I’ve been a loyal customer since 2012 and this is how y’all do me? Fuck yall I’m taking my business to my shoe box from now on!,account_access_security,ESCALATE_HUMAN,"Hello, thank you for contacting Ask_WellsFargo. Your request regarding account access security requires specialist review. We have escalated this ticket to a human support representative. Please send us a Direct Message with your account reference and any relevant details so our team can assist you as soon as they review your file.",,,,,,,
119,2268234,AmericanAir,"Y’all. Fair warning, even when you have Plat. Pro status @AmericanAir will STILL charge you $1400 to cancel international flights #garbage",flight_travel_disruption,ESCALATE_HUMAN,"Hello, thank you for contacting AmericanAir. Your request regarding flight travel disruption requires specialist review. We have escalated this ticket to a human support representative. Please send us a Direct Message with your account reference and any relevant details so our team can assist you as soon as they review your file.",,,,,,,
120,6477,Kimpton,Thanks @Kimpton ! https://t.co/ylSiLp2BFH,feedback_praise_resolution,ESCALATE_HUMAN,"Hello, thank you for contacting Kimpton. Your request regarding feedback praise resolution requires specialist review. We have escalated this ticket to a human support representative. Please send us a Direct Message with your account reference and any relevant details so our team can assist you as soon as they review your file.",,,,,,,
124,792585,NikeSupport,"@NikeSupport my coach do not record my distance and speed, what should I do?",account_access_security,ESCALATE_HUMAN,"Hello, thank you for contacting NikeSupport. Your request regarding account access security requires specialist review. We have escalated this ticket to a human support representative. Please send us a Direct Message with your account reference and any relevant details so our team can assist you as soon as they review your file.",,,,,,,
128,788942,GooglePlayMusic,@308140 PLEASE PLEASE PLEASE get super fast on getting bixby voice working with Samsung music. Google play is awful and won't work,technical_hardware_software_bug,ESCALATE_HUMAN,"Hello, thank you for contacting GooglePlayMusic. Your request regarding technical hardware software bug requires specialist review. We have escalated this ticket to a human support representative. Please send us a Direct Message with your account reference and any relevant details so our team can assist you as soon as they review your file.",,,,,,,
147,2985781,AlaskaAir,Another reason for me to dislike @AlaskaAir. https://t.co/4Bcthtp38E,billing_payment_dispute,ESCALATE_HUMAN,"Hello, thank you for contacting AlaskaAir. Your request regarding billing payment dispute requires specialist review. We have escalated this ticket to a human support representative. Please send us a Direct Message with your account reference and any relevant details so our team can assist you as soon as they review your file.",,,,,,,
152,1550570,AzureSupport,@AzureSupport does WebJobs support .NET 4.7 yet?,technical_hardware_software_bug,ESCALATE_HUMAN,"Hello, thank you for contacting AzureSupport. Your request regarding technical hardware software bug requires specialist review. We have escalated this ticket to a human support representative. Please send us a Direct Message with your account reference and any relevant details so our team can assist you as soon as they review your file.",,,,,,,
169,1549881,ChaseSupport,@116016 should make an option to open a new business banking account online so you can get it done quickly and efficiently.,account_access_security,ESCALATE_HUMAN,"Hello, thank you for contacting ChaseSupport. Your request regarding account access security requires specialist review. We have escalated this ticket to a human support representative. Please send us a Direct Message with your account reference and any relevant details so our team can assist you as soon as they review your file.",,,,,,,
186,2985975,VMUcare,"@VMUcare I'd like to confirm my account number, please.",account_access_security,ESCALATE_HUMAN,"Hello, thank you for contacting VMUcare. Your request regarding account access security requires specialist review. We have escalated this ticket to a human support representative. Please send us a Direct Message with your account reference and any relevant details so our team can assist you as soon as they review your file.",,,,,,,
189,2271031,AskPapaJohns,@116076 soooooooo 🤔 https://t.co/X2LqW9irEx,billing_payment_dispute,ESCALATE_HUMAN,"Hello, thank you for contacting AskPapaJohns. Your request regarding billing payment dispute requires specialist review. We have escalated this ticket to a human support representative. Please send us a Direct Message with your account reference and any relevant details so our team can assist you as soon as they review your file.",,,,,,,
192,2983245,idea_cares,"@118471 Dear Mr Birla, is looting Indian consumers is new policy if IdeaCellular. Activating services without consumers consent and then denying refund as well. ""Chori aur Seenajori"". Please confirm. 
SR number is 1-157287790251",subscription_cancellation_refund,ESCALATE_HUMAN,"Hello, thank you for contacting idea_cares. Your request regarding subscription cancellation refund requires specialist review. We have escalated this ticket to a human support representative. Please send us a Direct Message with your account reference and any relevant details so our team can assist you as soon as they review your file.",,,,,,,
194,2984955,DoorDash_Help,First ever awful experience with @116584 🙂,flight_travel_disruption,ESCALATE_HUMAN,"Hello, thank you for contacting DoorDash_Help. Your request regarding flight travel disruption requires specialist review. We have escalated this ticket to a human support representative. Please send us a Direct Message with your account reference and any relevant details so our team can assist you as soon as they review your file.",,,,,,,
197,2980866,AskPayPal,"Using @115993 on mobile is such broken and frustrating experience.
I ran into several major issues after just a few minutes if usage. Anyone testing at PayPal?
#Crypto #cryptocurrencies #bitcoin",technical_hardware_software_bug,ESCALATE_HUMAN,"Hello, thank you for contacting AskPayPal. Your request regarding technical hardware software bug requires specialist review. We have escalated this ticket to a human support representative. Please send us a Direct Message with your account reference and any relevant details so our team can assist you as soon as they review your file.",,,,,,,
